rank,family,class_id,seed,set_id,policy,selected,selected_stage,oracle_stage,candidate_count,saving_bits,selected_probability_json,unit,estimand,oracle,absolute_regret,normalized_regret,resolved,risk_range,range_tau,selected_Y,oracle_Y,oracle_hit,all_minima_hit,source_observations_sha256
20,primary,224,79,primary_d0adb13a6bdf,energy,mlp_up_gate_all_blocks_stage4_w4,4,15,3,1783627776,"{""mlp_up_gate_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w4,3.072778260280476,1.0,True,3.072778260280476,3.705274741584564e-12,3.7052747415845637,0.6324964813040879,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
1,primary,85,82,primary_d0adb13a6bdf,candidate_B,mlp_up_gate_all_blocks_stage4_w4,4,10,3,1783627776,"{""mlp_up_gate_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage10_w4,186.50799487293583,1.0,True,186.50799487293583,1.8672886256317272e-10,186.72886256317273,0.22086769023690067,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
2,primary,888,82,primary_d0adb13a6bdf,candidate_B,mlp_up_gate_all_blocks_stage4_w4,4,15,3,1783627776,"{""mlp_up_gate_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w4,22.446279263957294,1.0,True,22.446279263957294,2.279068768609659e-11,22.79068768609659,0.34440842213929557,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
3,primary,301,81,primary_d0adb13a6bdf,candidate_B,mlp_up_gate_all_blocks_stage4_w4,4,15,3,1783627776,"{""mlp_up_gate_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w4,18.830651450175523,0.5005341332037218,True,37.62111352855787,3.821149414810077e-11,19.42103206971842,0.5903806195428984,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
4,primary,975,79,primary_d0adb13a6bdf,candidate_B,mlp_up_gate_all_blocks_stage4_w4,4,15,3,1783627776,"{""mlp_up_gate_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w4,18.411051776122804,1.0,True,18.411051776122804,1.878201061169443e-11,18.78201061169443,0.37095883557162773,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
5,primary,462,81,primary_d0adb13a6bdf,candidate_B,mlp_up_gate_all_blocks_stage4_w4,4,15,3,1783627776,"{""mlp_up_gate_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w4,10.17053088827426,1.0,True,10.17053088827426,1.1125013649459124e-11,11.125013649459124,0.9544827611848631,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
6,primary,679,79,primary_d0adb13a6bdf,candidate_B,mlp_up_gate_all_blocks_stage4_w4,4,15,3,1783627776,"{""mlp_up_gate_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w4,8.76392101464029,0.48452437649196045,True,18.08767822600089,1.850846534580785e-11,9.18470813444725,0.42078711980695965,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
7,primary,888,80,primary_d0adb13a6bdf,candidate_B,mlp_up_gate_all_blocks_stage4_w4,4,15,3,1783627776,"{""mlp_up_gate_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w4,5.84322444321576,1.0,True,5.84322444321576,6.3854300829671616e-12,6.3854300829671615,0.5422056397514012,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
8,primary,679,79,primary_494f26df6416,candidate_B,attention_output_all_blocks_stage4_w4,4,15,3,445906944,"{""attention_output_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,attention_output_all_blocks_stage15_w4,5.59857749839296,1.0,True,5.59857749839296,6.000546541613521e-12,6.000546541613521,0.4019690432205607,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
9,primary,888,79,primary_d0adb13a6bdf,candidate_B,mlp_up_gate_all_blocks_stage4_w4,4,15,3,1783627776,"{""mlp_up_gate_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w4,5.339512851842358,1.0,True,5.339512851842358,6.966952043004596e-12,6.966952043004596,1.6274391911622388,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
10,primary,224,79,primary_d0adb13a6bdf,candidate_B,mlp_up_gate_all_blocks_stage4_w4,4,15,3,1783627776,"{""mlp_up_gate_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w4,3.072778260280476,1.0,True,3.072778260280476,3.705274741584564e-12,3.7052747415845637,0.6324964813040879,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
11,primary,568,82,primary_d0adb13a6bdf,candidate_B,mlp_up_gate_all_blocks_stage4_w4,4,15,3,1783627776,"{""mlp_up_gate_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w4,3.020981883014599,1.0,True,3.020981883014599,3.3534916586761482e-12,3.3534916586761483,0.33250977566154916,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
12,primary,679,82,primary_d0adb13a6bdf,candidate_B,mlp_up_gate_all_blocks_stage4_w4,4,15,3,1783627776,"{""mlp_up_gate_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w4,2.471302335264795,1.0,True,2.471302335264795,2.838097456220794e-12,2.838097456220794,0.3667951209559987,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
13,primary,975,80,primary_d0adb13a6bdf,candidate_B,mlp_up_gate_all_blocks_stage4_w4,4,15,3,1783627776,"{""mlp_up_gate_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w4,2.4354234454364696,1.0,True,2.4354234454364696,2.6635485502260956e-12,2.663548550226096,0.22812510478962622,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
14,primary,679,79,primary_d82bcfdaeedc,candidate_B,mlp_up_gate_all_blocks_stage4_w6,4,15,3,1486356480,"{""mlp_up_gate_all_blocks_stage4_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w6,2.2640375049313524,1.0,True,2.2640375049313524,2.2948380234032018e-12,2.294838023403202,0.030800518471849617,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
15,primary,19,81,primary_494f26df6416,candidate_B,attention_output_all_blocks_stage4_w4,4,15,3,445906944,"{""attention_output_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,attention_output_all_blocks_stage15_w4,2.240712260634041,0.07936859236293953,True,28.231724841328063,2.8460897388971264e-11,2.469884808277243,0.22917254764320205,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
